Information Pages Names,Information Pages Links,Information Pages ID's,Desktop old name,Desktop New name,Mobile old name,Mobile New name,Desktop Size,Mobile Size,"BAU
Starting From Price",Starting Price in Category,
,,,,,,,,,,,
Furniture Page,https://www.woodenstreet.com/furniture,235,furniture-banner,235.jpg,furniture-m,235-m.jpg,1400*450,700*500,https://www.woodenstreet.com/product/albus-3-seater-fabric-sofa-cotton-jade-ivory,8899,
Sofas,https://www.woodenstreet.com/sofas,151,sofa-banner,151.jpg,sofa-m,151-m.jpg,1400*450,700*500,https://www.woodenstreet.com/product/albus-l-shape-4-seater-sofa-cotton-jade-ivory,16999,
Sofa Sets,https://www.woodenstreet.com/sofa-sets,30,sofa-set-banner,30.jpg,sofa-set-m,30-m.jpg,1400*450,700*500,https://www.woodenstreet.com/product/varnik-3+1+1-ash-wood-sofa-set-with-cane-accents-teak-finish-cottage-ivory,16999,
Seatings / Chairs,https://www.woodenstreet.com/chairs,33,chair-banner,33.jpg,chair-m,33-m.jpg,1400*450,700*500,https://www.woodenstreet.com/product/heritage-floral-printed-fabric-sheesham-wood-arm-chair-with-brass-nails-detailing-one-piece-blue,4999,
Living Room Furniture,https://www.woodenstreet.com/living-room-furniture,17,living-room-banner,17.jpg,living-room-m,17-m.jpg,1400*450,700*500,https://www.woodenstreet.com/product/vedic-3-1-1-wooden-sofa-set-with-cane-and-brass-detail-teak-finish-jade-ivory,39789,
Tables,https://www.woodenstreet.com/tables,32,table-banner,32.jpg,table-m,32-m.jpg,1400*450,700*500,https://www.woodenstreet.com/product/gulliver-sheesham-wood-study-table-with-three-drawers-teak-finish,4999,
Storage Furniture,https://www.woodenstreet.com/storage-furniture,20,storage-banner,20.jpg,storage-m,20-m.jpg,1400*450,700*500,https://www.woodenstreet.com/product/rida-sheesham-wood-wardrobe-with-cane-accent-and-mirror-teak-finish,6999,
Home Furnishing,https://www.woodenstreet.com/home-furnishing,147,furnishing-banner,147.jpg,furnishing-m,147-m.jpg,1400*450,700*500,,,
Bedroom Furniture,https://www.woodenstreet.com/bedroom-furniture,19,bedroom-banner,19.jpg,bedroom-m,19-m.jpg,1400*450,700*500,https://www.woodenstreet.com/product/wildon-premium-sheesham-wood-bed-with-cushioned-headboard-and-drawer-storage-king-size-teak-finish,24999,
Beds,https://www.woodenstreet.com/beds,412,all-beds-banner,412.jpg,all-beds-m,412-m.jpg,1400*450,700*500,https://www.woodenstreet.com/product/lotus-premium-sheesham-wood-bed-with-drawer-storage-king-size-teak-finish,,
Dining Room Furniture,https://www.woodenstreet.com/dining-room-furniture,18,dining-banner,18.jpg,dining-banner-m,18-m.jpg,1400*450,700*500,https://www.woodenstreet.com/product/shriyam-modern-6-seater-sheesham-wood-dining-table-set-with-quartz-table-top-cane-brass-accents-teak-finish,39999,
Dining Table Sets,https://www.woodenstreet.com/dining-table-sets,41,dining-table-sets-banner,41.jpg,dining-set-m,41-m.jpg,1400*450,700*500,https://www.woodenstreet.com/product/mcbeth-storage-6-seater-dining-table-set-honey-finish,39999,
Kitchen Furniture,https://www.woodenstreet.com/kitchen-furniture,400,kitchen-furniture,400.jpg,kitchen-furniture-m,400-m.jpg,1400*450,700*500,https://www.woodenstreet.com/product/tripti-classic-kitchen-cabinet-with-fluted-glass-cane-weave-brass-knobs-teak-finish,24989,https://www.woodenstreet.com/product/briska-mango-wood-cabinet-with-fluted-glass-drawer-storage-teak-finish
Bar Furniture,https://www.woodenstreet.com/bar-furniture,61,bar-furniture-banner,61.jpg,bar-furniture-m,61-m.jpg,1400*450,700*500,https://www.woodenstreet.com/product/amodh-sheesham-wood-bar-cabinet-with-fluted-glass-brass-detailing-teak-finish,15989,
Study Room Furniture,https://www.woodenstreet.com/study-room-furniture,28,study-room-banner,28.jpg,study-room-m,28-m.jpg,1400*450,700*500,https://www.woodenstreet.com/product/kalam-sheesham-wood-study-table-with-cane-accent-drawers-and-cabinet-teak-finish,4999,
Study Tables,https://www.woodenstreet.com/study-tables,417,study-banner,417.jpg,study-m,417-m.jpg,1400*450,700*500,https://www.woodenstreet.com/product/vyas-sheesham-wood-study-table-with-cane-accent-drawers-closed-and-open-shelves-teak-finish,,
Office Furniture,https://www.woodenstreet.com/office-furniture,180,office-banner,180.jpg,office-banner-m,180-m.jpg,1400*450,700*500,ok,3989,
Outdoor Furniture,https://www.woodenstreet.com/outdoor-furniture,21,outdoor-banner,21.jpg,outdoor-m,21-m.jpg,1400*450,700*500,https://www.woodenstreet.com/product/aroha-2-seater-outdoor-set-with-coffee-table-caramel-brown,7989,
Home Decors,https://www.woodenstreet.com/home-decors,25,decor-banner,25.jpg,decor-m,25-m.jpg,1400*450,700*500,https://www.woodenstreet.com/product/skyler-antique-sheesham-wood-full-length-mirror-with-brass-design-walnut-finish,,
Wall arts,https://www.woodenstreet.com/wall-arts,252,wall-art-banner,252.jpg,wall-art-m,252-m.jpg,1400*450,700*500,,,
Lamp & Lighting,https://www.woodenstreet.com/lamps-and-lighting,234,lamp-banner,234.jpg,lamp-m,234-m.jpg,1400*450,700*500,,,
All Bedsheets,https://www.woodenstreet.com/all-bedsheets,342,bedsheet-banner,342.jpg,bedsheet-m,342-m.jpg,1400*450,700*500,,,
Curtains,https://www.woodenstreet.com/curtains,291,curtain-banner,291.jpg,curtain-m,291-m.jpg,1400*450,700*500,,,
Modular Furniture,https://www.woodenstreet.com/modular-furniture,153,modular-banner,153.jpg,modular-m,153-m.jpg,1400*450,700*500,,,
Kids Furniture,https://www.woodenstreet.com/kids-furniture,22,kids-furniture-banner,22.jpg,kids-furniture-m,22-m.jpg,1400*450,700*500,,,
Kids Room Decor,https://www.woodenstreet.com/kids-room-decor,162,kids-decor-banner,162.jpg,kids-decor-m,162-m.jpg,1400*450,700*500,,,
