Index,Product Query,Page Type,Final URL,Elapsed (ms)
1,"Sofa set","search","https://beta.teamwoodenstreet.com/search?search=sofa%20set",7563
2,"3 seater sofa","search","https://beta.teamwoodenstreet.com/search?search=3%20seater%20sofa",7014
3,"L shaped sofa","search","https://beta.teamwoodenstreet.com/search?search=l%20shaped%20sofa",11036
4,"Sectional sofa","search","https://beta.teamwoodenstreet.com/search?search=sectional%20sofa",7003
5,"Sofa cum bed","search","https://beta.teamwoodenstreet.com/search?search=sofa%20cum%20bed",6914
6,"Coffee table","search","https://beta.teamwoodenstreet.com/search?search=coffee%20table",6991
1,"Sofa set","search","https://beta.teamwoodenstreet.com/search?search=sofa%20set",6908
2,"3 seater sofa","search","https://beta.teamwoodenstreet.com/search?search=3%20seater%20sofa",7304
3,"L shaped sofa","search","https://beta.teamwoodenstreet.com/search?search=l%20shaped%20sofa",6894
4,"Sectional sofa","search","https://beta.teamwoodenstreet.com/search?search=sectional%20sofa",7056
5,"Sofa cum bed","search","https://beta.teamwoodenstreet.com/search?search=sofa%20cum%20bed",7003
6,"Coffee table","search","https://beta.teamwoodenstreet.com/search?search=coffee%20table",6597
7,"TV unit","search","https://beta.teamwoodenstreet.com/search?search=tv%20unit",8014
8,"Center table","search","https://beta.teamwoodenstreet.com/search?search=center%20table",10858
9,"Side table","search","https://beta.teamwoodenstreet.com/search?search=side%20table",7190
10,"Wooden sofa","search","https://beta.teamwoodenstreet.com/search?search=wooden%20sofa",8774
11,"Fabric sofa","search","https://beta.teamwoodenstreet.com/search?search=fabric%20sofa",8543
12,"Leather sofa","search","https://beta.teamwoodenstreet.com/search?search=leather%20sofa",8414
13,"Recliner sofa","search","https://beta.teamwoodenstreet.com/search?search=recliner%20sofa",7202
14,"Corner sofa","search","https://beta.teamwoodenstreet.com/search?search=corner%20sofa",8744
15,"Lounge chairs","search","https://beta.teamwoodenstreet.com/search?search=lounge%20chairs",6566
16,"Armchair","search","https://beta.teamwoodenstreet.com/search?search=armchair",8286
17,"Ottoman","search","https://beta.teamwoodenstreet.com/search?search=ottoman",10556
18,"Console table","search","https://beta.teamwoodenstreet.com/search?search=console%20table",6992
19,"Nesting tables","search","https://beta.teamwoodenstreet.com/search?search=nesting%20tables",7331
20,"Living room furniture","search","https://beta.teamwoodenstreet.com/search?search=living%20room%20furniture",6680
21,"Bed","search","https://beta.teamwoodenstreet.com/search?search=bed",6691
22,"King size bed","search","https://beta.teamwoodenstreet.com/search?search=king%20size%20bed",6672
23,"Queen size bed","search","https://beta.teamwoodenstreet.com/search?search=queen%20size%20bed",7883
24,"Double bed","search","https://beta.teamwoodenstreet.com/search?search=double%20bed",7043
25,"Single bed","search","https://beta.teamwoodenstreet.com/search?search=single%20bed",8302
26,"Bed with storage","search","https://beta.teamwoodenstreet.com/search?search=bed%20with%20storage",7068
27,"Wardrobe","search","https://beta.teamwoodenstreet.com/search?search=wardrobe",6817
28,"3 door wardrobe","search","https://beta.teamwoodenstreet.com/search?search=3%20door%20wardrobe",8272
29,"Sliding wardrobe","search","https://beta.teamwoodenstreet.com/search?search=sliding%20wardrobe",7098
30,"Dressing table","unknown","https://beta.teamwoodenstreet.com/",16063
31,"Bedside table","search","https://beta.teamwoodenstreet.com/search?search=bedside%20table",13416
32,"Chest of drawers","search","https://beta.teamwoodenstreet.com/search?search=chest%20of%20drawers",9092
33,"Mattress","search","https://beta.teamwoodenstreet.com/search?search=mattress",7206
34,"Bedroom set","search","https://beta.teamwoodenstreet.com/search?search=bedroom%20set",6835
35,"Wooden bed","search","https://beta.teamwoodenstreet.com/search?search=wooden%20bed",10924
36,"Platform bed","search","https://beta.teamwoodenstreet.com/search?search=platform%20bed",8013
37,"Box bed","search","https://beta.teamwoodenstreet.com/search?search=box%20bed",8327
38,"Kids bed","search","https://beta.teamwoodenstreet.com/search?search=kids%20bed",8270
39,"Bunk bed","search","https://beta.teamwoodenstreet.com/search?search=bunk%20bed",6483
40,"Bedroom furniture","search","https://beta.teamwoodenstreet.com/search?search=bedroom%20furniture",7382
41,"Dining table","search","https://beta.teamwoodenstreet.com/search?search=dining%20table",7193
42,"4 seater dining table","search","https://beta.teamwoodenstreet.com/search?search=4%20seater%20dining%20table",7914
43,"6 seater dining table","search","https://beta.teamwoodenstreet.com/search?search=6%20seater%20dining%20table",8229
44,"Dining table set","search","https://beta.teamwoodenstreet.com/search?search=dining%20table%20set",6418
45,"Dining chairs","search","https://beta.teamwoodenstreet.com/search?search=dining%20chairs",9476
46,"Round dining table","search","https://beta.teamwoodenstreet.com/search?search=round%20dining%20table",7042
47,"Foldable dining table","search","https://beta.teamwoodenstreet.com/search?search=foldable%20dining%20table",8628
48,"Extendable dining table","search","https://beta.teamwoodenstreet.com/search?search=extendable%20dining%20table",7414
49,"Marble top dining table","search","https://beta.teamwoodenstreet.com/search?search=marble%20top%20dining%20table",7188
50,"Glass dining table","search","https://beta.teamwoodenstreet.com/search?search=glass%20dining%20table",7119
51,"Wooden dining table","search","https://beta.teamwoodenstreet.com/search?search=wooden%20dining%20table",7008
52,"Dining room furniture","search","https://beta.teamwoodenstreet.com/search?search=dining%20room%20furniture",7972
53,"2 seater dining table","search","https://beta.teamwoodenstreet.com/search?search=2%20seater%20dining%20table",9722
54,"8 seater dining table","search","https://beta.teamwoodenstreet.com/search?search=8%20seater%20dining%20table",12468
55,"Dining bench","search","https://beta.teamwoodenstreet.com/search?search=dining%20bench",7416
56,"Study table","search","https://beta.teamwoodenstreet.com/search?search=study%20table",7921
57,"Computer table","search","https://beta.teamwoodenstreet.com/search?search=computer%20table",7567
58,"Office chair","search","https://beta.teamwoodenstreet.com/search?search=office%20chair",7694
59,"Study chair","search","https://beta.teamwoodenstreet.com/search?search=study%20chair",13251
60,"Bookshelf","search","https://beta.teamwoodenstreet.com/search?search=bookshelf",7322
61,"Office desk","search","https://beta.teamwoodenstreet.com/search?search=office%20desk",8458
62,"Kids study table","search","https://beta.teamwoodenstreet.com/search?search=kids%20study%20table",7534
63,"Laptop table","search","https://beta.teamwoodenstreet.com/search?search=laptop%20table",6497
64,"Storage cabinets","search","https://beta.teamwoodenstreet.com/search?search=storage%20cabinets",7554
65,"Study room furniture","search","https://beta.teamwoodenstreet.com/search?search=study%20room%20furniture",7191
